Season,DayNum,WTeamID,WScore,LTeamID,LScore,Wins_W,ScoreMean_W,ScoreVar_W,OppScoreMean_W,OppScoreVar_W,FG2Att_W,FG2Made_W,FG3Att_W,FG3Made_W,FTAtt_W,FTMade_W,TO_W,Stl_W,Blk_W,OR_W,DR_W,Name_W,Wins_L,ScoreMean_L,ScoreVar_L,OppScoreMean_L,OppScoreVar_L,FG2Att_L,FG2Made_L,FG3Att_L,FG3Made_L,FTAtt_L,FTMade_L,TO_L,Stl_L,Blk_L,OR_L,DR_L,Name_L,ScoreDiff,SeedDiff
2003,134,1421,92,1411,84,13,71.20689655172414,135.45566502463055,78.44827586206897,170.6847290640395,38.793103448275865,17.896551724137932,18.0,6.482758620689655,20.93103448275862,15.96551724137931,16.20689655172414,7.068965517241379,3.0,12.275862068965518,23.17241379310345,UNC Asheville,18,72.8,146.51034482758618,70.83333333333333,152.764367816092,36.766666666666666,18.8,18.5,5.933333333333334,28.066666666666666,17.4,15.233333333333333,6.433333333333334,2.2333333333333334,13.166666666666666,24.8,TX Southern,8,0
2003,136,1112,80,1436,51,25,85.21428571428571,107.73015873015876,70.25,87.60185185185189,45.642857142857146,23.285714285714285,20.071428571428573,7.035714285714286,25.0,17.535714285714285,14.785714285714286,8.464285714285714,4.214285714285714,15.178571428571429,27.642857142857142,Arizona,19,67.79310344827586,143.88423645320196,63.13793103448276,107.8374384236453,40.37931034482759,19.551724137931036,15.482758620689655,5.275862068965517,19.551724137931036,12.862068965517242,14.068965517241379,6.862068965517241,2.9655172413793105,12.96551724137931,25.724137931034484,Vermont,29,-15
2003,136,1113,84,1272,71,18,75.96551724137932,143.24876847290648,69.17241379310344,161.57635467980296,44.310344827586206,23.20689655172414,12.586206896551724,4.0,26.20689655172414,17.551724137931036,14.0,5.206896551724138,4.241379310344827,13.689655172413794,23.310344827586206,Arizona St,23,74.51724137931035,76.115763546798,65.82758620689656,128.93349753694585,39.93103448275862,19.275862068965516,20.06896551724138,7.0,22.896551724137932,14.96551724137931,13.793103448275861,7.379310344827586,5.068965517241379,14.068965517241379,25.96551724137931,Memphis,13,3
2003,136,1141,79,1166,73,23,79.34482758620689,171.66256157635476,73.24137931034483,103.40394088669946,34.758620689655174,19.79310344827586,17.93103448275862,6.827586206896552,25.17241379310345,19.275862068965516,18.24137931034483,7.103448275862069,4.0,10.586206896551724,23.275862068965516,C Michigan,29,79.24242424242425,150.376893939394,64.33333333333333,100.72916666666664,36.96969696969697,20.727272727272727,20.484848484848484,7.96969696969697,20.03030303030303,13.878787878787879,13.363636363636363,8.393939393939394,4.454545454545454,10.878787878787879,23.181818181818183,Creighton,6,5
2003,136,1143,76,1301,74,21,74.48275862068965,60.187192118226584,69.75862068965517,108.40394088669949,41.689655172413794,20.93103448275862,17.03448275862069,6.413793103448276,19.517241379310345,13.379310344827585,14.172413793103448,6.551724137931035,2.793103448275862,11.241379310344827,24.379310344827587,California,18,72.4,161.21379310344832,68.0,130.75862068965515,30.833333333333332,16.366666666666667,22.5,7.966666666666667,20.466666666666665,15.766666666666667,14.2,7.766666666666667,3.066666666666667,9.733333333333333,22.033333333333335,NC State,2,-1
2003,136,1163,58,1140,53,21,80.03333333333333,208.7919540229887,71.4,105.97241379310339,46.5,23.466666666666665,15.7,6.066666666666666,22.1,14.9,15.8,5.933333333333334,7.733333333333333,14.766666666666667,27.9,Connecticut,23,72.45161290322581,99.65591397849462,63.67741935483871,148.0258064516129,35.12903225806452,17.838709677419356,16.129032258064516,6.193548387096774,24.161290322580644,18.193548387096776,13.741935483870968,6.935483870967742,2.5161290322580645,10.870967741935484,24.419354838709676,BYU,5,-7
2003,136,1181,67,1161,57,24,81.96666666666667,88.51609195402304,70.4,136.8689655172414,39.733333333333334,20.033333333333335,20.6,7.333333333333333,28.066666666666666,19.9,14.033333333333333,8.5,5.133333333333334,13.766666666666667,23.1,Duke,17,74.0,149.6551724137931,72.66666666666667,118.78160919540231,40.53333333333333,22.2,11.566666666666666,4.2,24.266666666666666,17.0,16.133333333333333,5.333333333333333,4.233333333333333,10.8,23.466666666666665,Colorado St,10,-11
2003,136,1211,74,1153,69,23,77.06451612903226,130.8623655913978,68.19354838709677,174.36129032258066,36.38709677419355,18.903225806451612,19.06451612903226,7.161290322580645,24.64516129032258,17.774193548387096,14.548387096774194,6.806451612903226,3.5161290322580645,11.935483870967742,25.322580645161292,Gonzaga,17,67.32142857142857,181.04100529100526,61.5,117.66666666666664,37.17857142857143,16.214285714285715,19.5,6.678571428571429,21.535714285714285,14.857142857142858,10.607142857142858,5.178571428571429,4.25,12.142857142857142,23.392857142857142,Cincinnati,5,1
2003,136,1228,65,1443,60,24,75.43333333333334,109.3574712643679,61.4,99.35172413793104,35.63333333333333,19.666666666666668,20.166666666666668,7.433333333333334,19.1,13.8,13.166666666666666,7.0,3.1,9.733333333333333,25.4,Illinois,23,73.09677419354838,77.69032258064516,66.41935483870968,212.184946236559,34.87096774193548,18.0,21.032258064516128,7.709677419354839,21.096774193548388,13.96774193548387,15.161290322580646,7.064516129032258,3.5483870967741935,12.161290322580646,23.258064516129032,WKU,5,-9
2003,136,1242,64,1429,61,23,81.33333333333333,148.64367816091962,66.36666666666666,160.9988505747126,48.166666666666664,25.433333333333334,14.133333333333333,4.8,24.133333333333333,16.066666666666666,14.9,10.133333333333333,4.9,14.3,26.9,Kansas,22,65.96666666666667,110.24022988505749,60.1,71.54137931034484,39.8,19.666666666666668,12.133333333333333,4.033333333333333,20.233333333333334,14.533333333333333,12.233333333333333,5.066666666666666,2.0,12.633333333333333,22.366666666666667,Utah St,3,-13
